ncessch_school_id,unemployment_rate,pct_adults_college,pct_children_married_couple,median_household_income,act_avg,frl_pct,statename,st,sch_name,sch_type_text,level,ncessch,state_fips,state_abbrev,state_name,census_region,census_division,log_median_income,act_composite_2016,percent_taking_2016,frl_x_unemployment,high_participation,income_quartile,frl_pct_z,median_household_income_z,unemployment_rate_z
120009007903,0.18,0.67201166180758,0.373123659756969,25392.0,22.7411477411477,0.125230202578269,,,,,,120009007903,12,FL,Florida,South,South Atlantic,10.14218944276619,19.9,81,0.02254143646408842,1,Q1_Low,-1.2403387979280285,-1.099824937389677,1.3784733188273897
120012000070,0.130543933054393,0.473026080743123,0.513910355486862,33636.0,17.979242979243,0.414841849148418,,,,,,120012000070,12,FL,Florida,South,South Atlantic,10.423352200952788,19.9,81,0.05415508658339167,1,Q1_Low,-0.028283735253507806,-0.7595301166254097,0.5396731794415341
120015000078,0.20293554562859,0.632786885245902,0.5,29099.0,22.032967032967,0.316187594553706,,,,,,120015000078,12,FL,Florida,South,South Atlantic,10.278459088307951,19.9,81,0.06416570202174772,1,Q1_Low,-0.44116211964175017,-0.9468078461022996,1.7674718797382434
120015000088,0.0853722019781364,0.590235081374322,0.354297693920335,41615.0,22.8632478632479,0.334794040315513,,,,,,120015000088,12,FL,Florida,South,South Atlantic,10.636215958180195,19.9,81,0.02858210443089232,1,Q2_Medium_Low,-0.36329219606975527,-0.4301739333553845,-0.22646243673548272
120015000090,0.160958904109589,0.3525,0.11829134720701,20625.0,22.6434676434676,0.268221574344023,,,,,,120015000090,12,FL,Florida,South,South Atlantic,9.934259211202882,19.9,81,0.04317265066496259,1,Q1_Low,-0.641904936168684,-1.2965965786540221,1.0555266133301202
120015000100,0.184439973172368,0.397819314641745,0.316860465116279,30345.0,20.006105006105,0.595744680851064,,,,,,120015000100,12,FL,Florida,South,South Atlantic,10.320387038269956,19.9,81,0.10987913295375118,1,Q1_Low,0.7288135555981544,-0.895375610940694,1.4537775301377585
120015000103,0.176470588235294,0.63663890991673,0.469387755102041,28940.0,23.0586080586081,0.216807558428642,,,,,,120015000103,12,FL,Florida,South,South Atlantic,10.272980000185475,19.9,81,0.03826015736976032,1,Q1_Low,-0.857077975722436,-0.9533710285988447,1.3186126937711864
120015000104,0.112665406427221,0.686366932559826,0.548663101604278,42364.0,22.5457875457875,0.442728442728443,,,,,,120015000104,12,FL,Florida,South,South Atlantic,10.65405422396356,19.9,81,0.049880179936890666,1,Q2_Medium_Low,0.08842457855123105,-0.39925680323014967,0.2364442420620388
120015000109,0.154243542435424,0.541037426132633,0.615643964935941,42823.0,21.5445665445665,0.351961950059453,,,,,,120015000109,12,FL,Florida,South,South Atlantic,10.664830620408827,19.9,81,0.05428785797964983,1,Q2_Medium_Low,-0.29144269634446873,-0.38031025753257586,0.9416306515968276
120015000118,0.15568570034163,0.677446451070979,0.580099502487562,37185.0,22.3504273504273,0.217478318879253,,,,,,120015000118,12,FL,Florida,South,South Atlantic,10.523660733137401,19.9,81,0.03385826438383684,1,Q2_Medium_Low,-0.854270773009309,-0.6130349299572408,0.966090385810477
